Ingredients,Nameofproduct,protein,sodium,fiber,sugars,Servingsize,calories,Saturatedfat,category
Organic Almonds Organic Cacao Organic Jerusalem Artichoke Fiber Organic Cacao Butter Organic Monk Fruit Extract Organic MCT Oil,"Organic Almond Butter Keto Cups 7 Count, 4.93 oz",3,0,5,1,20,130,3,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Expeller Pressed Palm Oil, Organic Cane Sugar, Organic Brown Cane Sugar, Organic Invert Cane Sugar Syrup, Sea Salt, Leavening (Sodium Bicarbonate, Ammonium Bicarbonate), Organic Natural Flavors, Organic Vanilla Extract","Ogranic Cookies, Chocolate Chip, 12 oz",2,105,1,10,30,150,3.5,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Sea Salt, Organic Natural Flavors, Leavening (Sodium Bicarbonate), Organic Soy Lecithin (Emulsifier)","Ogranic Cookies, Vanilla Wafers, 9 oz",1,140,0,11,30,140,2,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Expeller Pressed Palm Oil, Organic Cane Sugar, Organic Rolled Oats, Organic Raisins, Organic Invert Cane Sugar Syrup, Organic Cinnamon, Baking Soda (Sodium Bicarbonate), Sea Salt, Organic Soy Lecithin (Emulsifier)","Ogranic Cookies, Oatmeal Raisin, 12 oz",2,105,1,9,30,140,2.5,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Invert Cane Sugar Syrup, Organic Cocoa Powder (Processed With Alkali), Sea Salt, Leavening (Sodium Bicarbonate), Organic Vanilla Extract, Organic Natural Flavor, Leavening (Ammonium Bicarbonate)","Ogranic Cookies, Double Chocolate Chip, 12 oz",2,100,1,9,30,150,3.5,organic
"Ingredients: Organic Wheat Flour, Organic Sugar, Organic Eggs, Leavening (Ammonium Bicarbonate, Sodium Bicarbonate), Natural Flavors, Salt","Organic Ladyfingers, 7 oz",3,35,1,14,33,120,0,organic
"Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Expeller Pressed Palm Oil, Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Cane Sugar, Organic Brown Sugar, Organic Invert Cane Sugar Syrup, Sea Salt, Leavening (Sodium Bicarbonate), Natural Flavors, Organic Vanilla Extract.","Organic Chocolate Chip Cookie Bites, 6 EACH",2,115,1,9,30,150,4,organic
"Best Ingredients: Organic Wheat Flour, Organic Semi-sweet Chocolate Chips (Organic Cane Sugar, Organic Chocolate, Organic Cocoa Butter, Organic Vanilla Extract), Organic Cane Sugar, Organic Whole Grain Oat Flour, Organic Palm Oil, Organic Expeller-pressed Sunflower Oil, Organic Invert Cane Syrup, Sea Salt, Organic Molasses, Leavening (Baking Soda, Ammonium Bicarbonate), Mixed Tocopherols (Vitamin E) To Protect Flavor, Natural Flavor","Organic Choc Chip Cookie Bites 10pk, 10.5 oz",2,100,1,9,30,150,3,organic
"Ingredients: Gluten Free Flour Blend* (Oat Flour*, Tapioca Flour*, Potato Starch*), Cane Sugar Syrup*, Vegetable Oils* (Sustainable Palm Fruit Oil*, Sunflower Oil*), Chocolate Chips* (Cane Sugar*, Cocoa Mass*, Cocoa Butter*, Vanilla*), Vegetable Glycerin*, Chia*, Brown Sugar*, Baking Powder, Vanilla Flavor*, Vegetable Extracts (Spinach, Broccoli, Carrots, Tomatoes, Beets, Shiitake Mushrooms), Sea Salt., *Organic","Soft Baked Mini Chocolate Chip Cookies 5pk, 4.23 oz",1,65,1,6,24,120,3,organic
"Best Ingredients: Organic Wheat Flour, Organic Cane Sugar, Organic Expeller-pressed Sunflower Oil, Organic Whole Wheat Flour (Graham Flour), Organic Invert Cane Syrup, Organic Corn Flour, Organic Chocolate Cookie Bits (Organic Wheat Flour, Organic Sugar, Organic Expeller-pressed Sunflower Oil, Organic Malted Black Barley Flour, Organic Cocoa, Baking Soda), Calcium Carbonate, Organic Honey, Organic Cocoa Powder, Organic Semi-sweet Chocolate Chips (Organic Can Sugar, Organic Cocoa Butter, Organic Vanilla Extract), Baking Soda, Sea Salt, Natural Flavor, Mixed Tocopherols (Vitamin E) To Protect Flavor","Organic Grahams Friends Bunny Snacks, 11.25 oz",2,90,1,7,30,130,0.5,organic
